"E01000586",2457,647
"E01000587",1708,299
"E01000588",2197,406
"E01000589",1932,299
"E01000590",1789,351
"E01000591",2075,250
"E01000592",1622,321
"E01000593",2134,433
"E01000594",1698,212
"E01000595",1685,310
"E01000596",1694,413
"E01000599",1308,312
"E01000600",2047,416
"E01000601",1505,313
"E01000602",1541,367
"E01000603",1487,272
"E01000604",1766,424
"E01000605",1662,419
"E01000606",1710,283
"E01000607",2223,347
"E01000608",2263,377
"E01000609",2079,360
"E01000610",1935,311
"E01000611",1415,213
"E01000612",1652,293
"E01000613",1673,271
"E01000615",1603,247
"E01000616",1747,223
"E01000617",1750,231
"E01000618",1639,283
"E01000619",1652,244
"E01000620",1715,247
"E01000621",1779,220
"E01000622",1585,291
"E01000623",1772,387
"E01000624",1690,410
"E01000625",1504,362
"E01000626",1500,375
"E01000627",1900,387
"E01000628",1891,373
"E01000629",1911,352
"E01000630",2254,346
"E01000631",1882,221
"E01000632",2087,174
"E01000633",1970,197
"E01000634",2343,269
"E01000635",2415,287
"E01000636",1776,202
"E01000637",1675,376
"E01000638",1939,331
"E01000639",1757,411
"E01000640",2123,319
"E01000641",1945,333
"E01000642",2054,435
"E01000643",2146,520
"E01000644",1948,473
"E01000645",1375,769
"E01000646",1641,940
"E01000647",1609,965
"E01000648",1744,1027
"E01000649",1981,1118
"E01000650",1911,1079
"E01000651",1628,950
"E01000652",1625,1045
"E01000653",1584,839
"E01000654",1273,945
"E01000655",1323,968
"E01000656",1400,1026
"E01000657",1587,1188
"E01000658",1358,966
"E01000659",1462,1085
"E01000661",1594,1026
"E01000662",1741,1065
"E01000663",1627,1021
"E01000664",1610,1099
"E01000665",1815,1202
"E01000666",1814,1201
"E01000667",1620,1042
"E01000668",1620,987
"E01000669",1672,1026
"E01000670",1932,894
"E01000671",1744,964
"E01000672",1520,811
"E01000673",1571,839
"E01000674",1564,790
"E01000675",1624,754
"E01000676",1735,911
"E01000677",1769,892
"E01000678",1707,950
"E01000679",1660,1067
"E01000680",1609,1080
"E01000681",1705,1119
"E01000682",1524,987
"E01000683",1592,981
"E01000684",2036,1200
"E01000685",1565,1034
"E01000686",1508,1022
"E01000687",1603,1120
"E01000688",1365,898
"E01000689",1375,925
"E01000690",1402,897
"E01000691",1438,975
"E01000692",1575,1048
"E01000693",1609,897
"E01000694",1627,1004
"E01000695",1494,945
"E01000696",1514,909
"E01000697",1615,868
"E01000698",1182,715
"E01000699",1442,666
"E01000700",1509,792
"E01000701",1327,671
"E01000702",1321,704
"E01000703",1599,824
"E01000704",1444,787
"E01000705",1310,592
"E01000706",1293,770
"E01000707",1455,838
"E01000708",1543,871
"E01000709",1317,644
"E01000710",1605,779
"E01000711",1719,886
"E01000712",1641,839
"E01000713",1693,873
"E01000714",1865,926
"E01000715",1657,877
"E01000716",1542,841
"E01000717",1609,897
"E01000718",2061,1067
"E01000719",1896,1190
"E01000720",1632,1034
"E01000721",1327,819
"E01000722",1636,1079
"E01000723",1247,919
"E01000724",1760,1090
"E01000725",1641,1090
"E01000726",1282,883
"E01000727",1553,1011
"E01000728",1471,1000
"E01000729",1783,1201
"E01000730",1724,1162
"E01000731",1363,963
"E01000732",1475,952
"E01000733",1593,1125
"E01000734",1360,922
"E01000735",1484,989
"E01000736",1560,1081
"E01000737",1377,916
"E01000738",1527,1079
"E01000739",1523,994
"E01000740",1734,556
"E01000741",1586,646
"E01000742",2019,804
"E01000743",1770,786
"E01000744",1531,679
"E01000745",1757,721
"E01000746",1858,762
"E01000747",1920,1344
"E01000748",1602,1183
"E01000749",1588,1128
"E01000750",1492,1072
"E01000751",2007,1249
"E01000752",1606,1127
"E01000753",1806,1188
"E01000754",1675,1074
"E01000755",1505,954
"E01000756",1563,963
"E01000757",1499,1002
"E01000758",1479,910
"E01000759",1542,1108
"E01000760",1503,994
"E01000761",1552,1048
"E01000762",1623,1008
"E01000763",1452,1024
"E01000764",1615,1037
"E01000765",1704,1034
"E01000766",1714,1186
"E01000767",1646,1078
"E01000768",1555,1001
"E01000769",1417,872
"E01000770",1429,785
"E01000771",1635,890
"E01000772",1516,905
"E01000773",1521,912
"E01000774",1473,882
"E01000775",2266,1261
"E01000777",1567,932
"E01000778",1580,1004
"E01000779",1233,731
"E01000780",1480,891
"E01000781",1445,931
"E01000782",1441,871
"E01000783",1503,974
"E01000784",1504,969
"E01000785",1381,905
"E01000786",1421,914
"E01000787",1405,1018
"E01000788",1526,932
"E01000789",1800,1091
"E01000790",2018,1157
"E01000791",1445,998
"E01000792",1142,716
"E01000793",1589,1063
"E01000794",1553,1008
"E01000795",1412,944
"E01000796",1630,722
"E01000797",1562,816
"E01000798",1464,689
"E01000799",1642,685
"E01000800",1618,622
"E01000801",1417,697
"E01000802",1729,705
"E01000803",1596,660
"E01000804",1436,685
"E01000805",1511,765
"E01000806",1721,712
"E01000807",1532,964
"E01000808",1604,1003
"E01000809",1517,983
"E01000810",1503,916
"E01000811",1320,850
"E01000812",1497,906
"E01000813",1610,1031
"E01000814",1531,901
"E01000815",1537,1003
"E01000816",1481,849
"E01000818",1467,885
"E01000819",1710,1009
"E01000820",1405,778
"E01000822",1614,874
"E01000823",1676,934
"E01000824",1206,684
"E01000825",1573,883
"E01000826",1625,980
"E01000827",1692,875
"E01000828",1584,876
"E01000829",1733,935
"E01000830",1550,825
"E01000831",1640,902
"E01000832",1488,896
"E01000833",1462,960
"E01000834",1328,911
"E01000835",1614,1022
"E01000836",1419,871
"E01000837",1512,922
"E01000838",1462,943
"E01000839",1488,925
"E01000840",1552,1042
"E01000841",1559,1036
"E01000842",1444,409
"E01000843",1678,524
"E01000844",1772,497
"E01000845",1464,453
"E01000846",1501,479
"E01000847",1686,455
"E01000848",1588,496
"E01000849",1569,496
"E01000850",1694,451
"E01000851",2383,568
"E01000852",1587,335
"E01000853",1631,524
"E01000854",1833,418
"E01000855",1764,502
"E01000856",1645,522
"E01000857",1447,520
"E01000858",1861,624
"E01000859",1586,565
"E01000860",1307,494
"E01000861",1574,481
"E01000862",1712,594
"E01000863",1481,447
"E01000864",1537,538
"E01000865",1505,477
"E01000866",2030,667
"E01000867",1608,464
"E01000868",1442,419
"E01000869",2110,646
"E01000870",1693,660
"E01000871",1664,573
"E01000872",1902,490
"E01000873",1639,588
"E01000874",1559,412
"E01000875",1654,458
"E01000876",1748,503
"E01000877",1574,497
"E01000878",1624,502
"E01000879",1458,473
"E01000880",1602,475
"E01000881",1510,345
"E01000882",1513,421
"E01000883",1326,309
"E01000884",1469,505
"E01000885",1484,548
"E01000886",1445,560
"E01000887",1486,504
"E01000888",1605,610
"E01000889",1670,677
"E01000890",1640,654
"E01000891",1575,541
"E01000892",1843,651
"E01000893",1566,525
"E01000894",1389,437
"E01000895",1630,529
"E01000896",1692,571
"E01000897",1597,470
"E01000898",1729,475
"E01000899",1667,628
"E01000900",1801,739
"E01000901",1977,626
"E01000902",1451,493
"E01000903",1439,485
"E01000904",2120,874
